1,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,2,
7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,
7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,
7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,
7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,
0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,
7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,
7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,
7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,
7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,
5,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,6,
